"sample_id","genotype","NR_AUDPS_BV","NR_AUDPS_BV_group","NR_AUDPS_raw","NR_AUDPS_raw_group","DNB_AUDPS_BV","DNB_AUDPS_BV_group","DNB_AUDPS_raw","DNB_AUDPS_raw_group","DBH23","change_in_branches","classification","population","family"
"T3_7362","7362","-0.62184636","Average","-12.43333333","Resistant","-1.23309237","Average","14.6","Resistant","13.85","FALSE","Central Atlantic","BW","BW2"
"T3_7383","7383","-1.13613878","Resistant","-10.9","Average","-2.67762048","Average","10.66666667","Resistant","14.8","FALSE","Central Atlantic","GE","GE2"
"T3_7396","7396","-1.72757104","Resistant","-15.26666667","Resistant","-3.73776425","Resistant","13.2","Resistant","16.07","TRUE","Central Atlantic","BW","BW10"
"T3_7411","7411","1.07182423","Susceptible","-6.6","Susceptible","-4.00900135","Resistant","14","Resistant","14.16","FALSE","Cairngorms","RM","RM4"
"T3_7412","7412","0.9203197","Susceptible","-5.833333334","Susceptible","-0.28490271","Average","17.06666667","Average","8.28","TRUE","Cairngorms","BB","BB5"
"T3_7436","7436","0.96222629","Susceptible","-6.916666666","Susceptible","0.96754484","Average","31.2","Average","13.53","FALSE","Cairngorms","RM","RM4"
"T3_7480","7480","2.08388032","Susceptible","-4.333333334","Susceptible","3.41666269","Susceptible","40.26666667","Average","13.37","FALSE","Central Atlantic","GE","GE9"
"T3_7500","7500","1.38355896","Susceptible","-5.3","Susceptible","4.01919111","Susceptible","34.26666667","Average","12.41","TRUE","Hyper-oceanic","BE","BE2"
"T3_7507","7507","-1.92524627","Resistant","-13.6","Resistant","-2.64106614","Average","9.6","Resistant","14.48","FALSE","Central Atlantic","GC","GC2"
"T3_7510","7510","2.65798103","Susceptible","-3.4","Susceptible","6.71671584","Susceptible","47.86666667","Susceptible","5.25","FALSE","Hyper-oceanic","BE","BE2"
"T3_7514","7514","1.06436647","Susceptible","-6.166666666","Susceptible","0.56520927","Average","47.33333333","Susceptible","10.66","FALSE","Hyper-oceanic","BE","BE3"
"T3_7530","7530","1.11967578","Susceptible","-3.766666666","Susceptible","4.36784471","Susceptible","50.4","Susceptible","7.64","FALSE","Central Atlantic","GE","GE2"
"T3_7534","7534","-0.33675844","Average","-8.633333334","Average","-2.91473108","Average","14.46666667","Resistant","10.19","FALSE","Central Atlantic","BW","BW10"
"T3_7538","7538","0.94692621","Susceptible","-7.6","Average","0.62745231","Average","19.2","Average","14.8","TRUE","Cairngorms","RM","RM3"
"T3_7542","7542","1.57616638","Susceptible","-5","Susceptible","1.55838729","Average","38.6","Average","10.35","FALSE","Cairngorms","BB","BB2"
"T3_7555","7555","-1.60175181","Resistant","-12.73333333","Resistant","-2.00419702","Average","14.46666667","Resistant","13.53","FALSE","Central Atlantic","GE","GE2"
"T3_7574","7574","-0.97302659","Resistant","-13.6","Resistant","-2.79628717","Average","15.2","Average","15.92","FALSE","Hyper-oceanic","CG","CG7"
"T3_7590","7590","1.77020918","Susceptible","-5.133333334","Susceptible","-1.37487778","Average","17.8","Average","6.37","FALSE","Cairngorms","BB","BB2"
"T3_7600","7600","1.61784612","Susceptible","-2.233333334","Susceptible","7.33480655","Susceptible","64.26666667","Susceptible","8.28","FALSE","Cairngorms","BB","BB5"
"T3_7620","7620","0.28086658","Average","-9.9","Average","-1.41232707","Average","15.6","Average","12.57","FALSE","Cairngorms","RM","RM4"
"T3_7623","7623","0.38387175","Average","-9.9","Average","3.76299483","Susceptible","35.2","Average","11.94","FALSE","Cairngorms","RM","RM3"
"T3_7628","7628","-0.54464083","Average","-9.533333332","Average","-1.0690665","Average","15.26666667","Average","12.25","FALSE","Central Atlantic","BW","BW2"
"T3_7633","7633","0.12076814","Average","-8","Average","-3.77538178","Resistant","9.066666666","Resistant","13.37","FALSE","Central Atlantic","BW","BW10"
"T3_7652","7652","-0.47293618","Average","-12.86666667","Resistant","-2.2792415","Average","12.26666667","Resistant","14.16","FALSE","Hyper-oceanic","CR","CR7"
"T3_7655","7655","-1.17301321","Resistant","-15.36666667","Resistant","-3.38134897","Resistant","12.2","Resistant","13.37","FALSE","Hyper-oceanic","CG","CG7"
"T3_7671","7671","-1.0798298","Resistant","-13.5","Resistant","-4.2665735","Resistant","14.2","Resistant","15.92","FALSE","Hyper-oceanic","CR","CR4"
